variant,repetition,seat,seed,won,final_vp,turns_played,roads,settlements,cities,dev_cards,has_longest_road,has_largest_army
lookahead,16,0,20260890,0,7,162,13,4,1,1,0,0
baseline,16,1,20260891,0,7,119,15,1,2,4,0,0
lookahead,16,1,20260891,1,10,82,14,0,4,0,1,0
baseline,16,2,20260892,1,10,83,15,0,4,1,1,0
lookahead,16,2,20260892,1,10,63,10,5,2,4,0,0
baseline,16,3,20260893,0,2,70,8,2,0,2,0,0
lookahead,16,3,20260893,0,4,78,3,0,2,0,0,0
baseline,17,0,20260894,0,8,132,11,5,1,5,0,0
lookahead,17,0,20260894,1,10,89,12,1,4,3,0,0
baseline,17,1,20260895,0,7,117,10,3,1,6,0,0
lookahead,17,1,20260895,0,6,101,11,5,0,3,0,0
baseline,17,2,20260896,0,9,112,15,3,2,4,0,0
lookahead,17,2,20260896,0,8,121,11,4,1,2,1,0
baseline,17,3,20260897,0,8,127,15,4,1,2,1,0
lookahead,17,3,20260897,0,5,110,9,1,2,0,0,0
baseline,18,0,20260898,0,7,180,15,4,1,2,0,0
lookahead,18,0,20260898,0,8,136,12,2,3,1,0,0
baseline,18,1,20260899,1,10,142,14,4,1,3,1,0
lookahead,18,1,20260899,0,6,77,7,3,1,2,0,0
baseline,18,2,20260900,1,10,107,11,1,3,4,1,0
lookahead,18,2,20260900,1,10,131,15,4,1,6,1,0
baseline,18,3,20260901,0,6,147,14,2,2,2,0,0
lookahead,18,3,20260901,0,7,159,14,4,1,3,0,0
baseline,19,0,20260902,0,8,151,15,2,3,1,0,0
lookahead,19,0,20260902,0,7,124,7,4,1,3,0,0
baseline,19,1,20260903,0,9,111,15,4,1,2,1,0
lookahead,19,1,20260903,0,3,107,15,3,0,0,0,0
baseline,19,2,20260904,0,8,114,15,4,1,1,1,0
lookahead,19,2,20260904,0,8,154,15,5,0,2,1,0
baseline,19,3,20260905,0,5,123,9,3,0,5,0,0
lookahead,19,3,20260905,0,4,81,7,3,0,5,0,0
baseline,20,0,20260906,0,7,99,11,0,3,4,0,0
lookahead,20,0,20260906,1,10,105,5,1,3,6,0,0
baseline,20,1,20260907,0,9,140,15,1,4,3,0,0
lookahead,20,1,20260907,1,10,94,11,3,2,2,1,0
baseline,20,2,20260908,0,3,118,11,3,0,6,0,0
lookahead,20,2,20260908,0,6,114,8,3,1,4,0,0
baseline,20,3,20260909,1,10,152,15,2,3,5,0,0
lookahead,20,3,20260909,0,5,171,15,5,0,2,0,0
baseline,21,0,20260910,0,6,94,15,4,1,3,0,0
lookahead,21,0,20260910,1,10,97,15,5,2,3,0,0
baseline,21,1,20260911,1,10,154,15,1,4,4,0,0
lookahead,21,1,20260911,0,7,112,15,2,2,2,0,0
baseline,21,2,20260912,1,10,115,15,1,4,5,0,0
lookahead,21,2,20260912,1,10,99,15,0,4,1,1,0
baseline,21,3,20260913,0,7,107,15,0,3,4,0,0
lookahead,21,3,20260913,0,6,123,8,0,3,4,0,0
baseline,22,0,20260914,0,5,108,15,3,0,2,1,0
lookahead,22,0,20260914,0,7,95,7,1,3,2,0,0
baseline,22,1,20260915,0,8,144,12,2,3,2,0,0
lookahead,22,1,20260915,1,10,98,15,5,1,3,1,0
baseline,22,2,20260916,1,10,107,14,2,3,5,1,0
lookahead,22,2,20260916,1,11,111,12,5,1,5,1,0
baseline,22,3,20260917,0,5,122,9,3,1,3,0,0
lookahead,22,3,20260917,1,10,128,6,1,4,5,0,0
baseline,23,0,20260918,1,10,137,13,1,2,7,1,0
lookahead,23,0,20260918,0,8,132,3,1,2,6,0,0
baseline,23,1,20260919,0,8,145,15,3,2,1,0,0
lookahead,23,1,20260919,0,6,144,14,5,0,4,0,0
baseline,23,2,20260920,0,4,89,14,4,0,0,0,0
lookahead,23,2,20260920,0,7,141,13,5,0,2,1,0
baseline,23,3,20260921,1,10,152,15,2,3,4,0,0
lookahead,23,3,20260921,0,8,175,15,5,1,3,0,0
baseline,24,0,20260922,1,10,145,11,4,2,1,1,0
lookahead,24,0,20260922,1,10,137,8,3,3,5,0,0
baseline,24,1,20260923,0,5,65,9,1,2,4,0,0
lookahead,24,1,20260923,0,4,99,9,4,0,2,0,0
baseline,24,2,20260924,1,11,147,14,3,2,4,1,0
lookahead,24,2,20260924,1,11,131,14,5,1,4,1,0
baseline,24,3,20260925,0,6,81,7,1,2,3,0,0
lookahead,24,3,20260925,1,10,84,7,2,3,3,0,0
baseline,25,0,20260926,0,2,110,12,2,0,4,0,0
lookahead,25,0,20260926,0,5,94,6,3,1,4,0,0
baseline,25,1,20260927,0,4,153,11,4,0,2,0,0
lookahead,25,1,20260927,0,4,108,6,3,0,4,0,0
baseline,25,2,20260928,1,10,131,10,2,3,4,0,0
lookahead,25,2,20260928,0,8,132,12,5,1,5,0,0
baseline,25,3,20260929,0,4,61,9,2,0,0,1,0
lookahead,25,3,20260929,0,2,61,3,2,0,1,0,0
baseline,26,0,20260930,0,4,78,8,3,0,3,0,0
lookahead,26,0,20260930,0,6,138,5,0,3,1,0,0
baseline,26,1,20260931,1,10,122,14,5,0,4,1,0
lookahead,26,1,20260931,1,10,86,15,5,0,7,1,0
baseline,26,2,20260932,1,10,95,9,1,3,2,1,0
lookahead,26,2,20260932,1,10,87,15,2,3,0,1,0
baseline,26,3,20260933,0,3,101,10,3,0,3,0,0
lookahead,26,3,20260933,0,5,121,5,3,0,3,0,0
baseline,27,0,20260934,0,5,126,8,4,0,6,0,0
lookahead,27,0,20260934,0,5,130,7,3,1,2,0,0
baseline,27,1,20260935,0,9,115,14,1,2,6,1,0
lookahead,27,1,20260935,1,10,118,8,1,4,3,0,0
baseline,27,2,20260936,1,10,139,15,1,4,5,0,0
lookahead,27,2,20260936,1,11,131,13,4,2,3,1,0
baseline,27,3,20260937,0,6,141,9,2,2,4,0,0
lookahead,27,3,20260937,0,7,214,15,5,1,3,0,0
baseline,28,0,20260938,1,10,133,13,3,3,3,0,0
lookahead,28,0,20260938,1,10,105,9,1,4,2,0,0
baseline,28,1,20260939,1,10,146,15,2,3,5,0,0
lookahead,28,1,20260939,0,7,141,15,5,0,2,1,0
baseline,28,2,20260940,0,8,138,15,5,0,1,1,0
lookahead,28,2,20260940,0,5,97,8,5,0,1,0,0
baseline,28,3,20260941,0,5,117,15,4,0,2,0,0
lookahead,28,3,20260941,0,6,119,12,5,0,1,0,0
baseline,29,0,20260942,0,9,126,14,5,1,2,1,0
lookahead,29,0,20260942,0,6,126,10,5,0,4,0,0
baseline,29,1,20260943,0,5,95,11,4,0,3,0,0
lookahead,29,1,20260943,0,7,135,12,5,0,1,1,0
baseline,29,2,20260944,0,5,140,9,3,1,2,0,0
lookahead,29,2,20260944,0,7,122,4,0,3,4,0,0
baseline,29,3,20260945,0,6,141,11,2,0,3,1,0
lookahead,29,3,20260945,0,3,65,3,3,0,0,0,0
baseline,30,0,20260946,1,10,109,15,0,3,4,1,0
lookahead,30,0,20260946,1,10,105,10,3,3,5,0,0
baseline,30,1,20260947,0,3,56,9,3,0,2,0,0
lookahead,30,1,20260947,0,3,104,9,3,0,0,0,0
baseline,30,2,20260948,0,9,125,10,4,1,3,1,0
lookahead,30,2,20260948,0,5,85,8,5,0,4,0,0
baseline,30,3,20260949,0,2,135,7,2,0,3,0,0
lookahead,30,3,20260949,0,7,269,13,5,0,2,0,0
baseline,31,0,20260950,1,10,129,14,4,2,4,0,0
lookahead,31,0,20260950,1,10,105,13,5,2,2,0,0
baseline,31,1,20260951,0,5,108,13,4,0,4,0,0
lookahead,31,1,20260951,0,7,109,10,5,0,4,1,0
baseline,31,2,20260952,0,6,85,9,1,2,4,0,0
lookahead,31,2,20260952,0,6,149,7,0,3,5,0,0
baseline,31,3,20260953,0,5,105,15,5,0,3,0,0
lookahead,31,3,20260953,0,7,113,12,5,0,5,1,0
baseline,32,0,20260954,1,10,77,11,1,3,2,1,0
lookahead,32,0,20260954,1,11,65,9,1,4,2,1,0
baseline,32,1,20260955,0,9,164,14,0,4,6,0,0
lookahead,32,1,20260955,0,5,121,3,0,2,4,0,0
baseline,32,2,20260956,1,10,139,13,4,2,2,1,0
lookahead,32,2,20260956,0,8,157,13,4,1,6,0,0
baseline,32,3,20260957,1,10,168,15,0,3,6,1,0
lookahead,32,3,20260957,1,10,136,14,4,2,5,1,0
baseline,33,0,20260958,0,4,98,5,2,1,4,0,0
lookahead,33,0,20260958,0,8,148,6,0,3,6,0,0
baseline,33,1,20260959,0,7,105,10,5,0,5,0,0
lookahead,33,1,20260959,1,10,114,5,0,4,6,0,0
baseline,33,2,20260960,0,5,105,13,4,0,3,0,0
lookahead,33,2,20260960,0,7,105,12,5,0,4,0,0
baseline,33,3,20260961,1,10,120,15,1,3,6,1,0
lookahead,33,3,20260961,0,9,131,11,4,1,7,0,0
baseline,34,0,20260962,0,2,70,14,2,0,1,0,0
lookahead,34,0,20260962,0,4,94,5,4,0,3,0,0
baseline,34,1,20260963,0,4,97,8,3,0,4,0,0
lookahead,34,1,20260963,0,8,139,14,4,2,0,0,0
baseline,34,2,20260964,0,6,149,11,0,3,2,0,0
lookahead,34,2,20260964,0,3,154,6,3,0,1,0,0
baseline,34,3,20260965,0,3,118,11,3,0,3,0,0
lookahead,34,3,20260965,0,4,117,6,4,0,3,0,0
baseline,35,0,20260966,0,7,139,12,3,1,4,1,0
lookahead,35,0,20260966,0,6,146,5,2,1,4,0,0
baseline,35,1,20260967,0,8,133,15,2,2,1,1,0
lookahead,35,1,20260967,1,10,142,15,4,3,5,0,0
baseline,35,2,20260968,1,10,111,13,5,1,4,0,0
lookahead,35,2,20260968,0,5,130,6,1,2,5,0,0
baseline,35,3,20260969,0,8,138,11,4,1,4,1,0
lookahead,35,3,20260969,0,6,149,11,5,0,2,0,0
baseline,36,0,20260970,1,10,101,10,0,3,2,1,0
lookahead,36,0,20260970,1,10,93,9,3,1,4,1,0
baseline,36,1,20260971,0,7,101,12,5,1,3,0,0
lookahead,36,1,20260971,0,6,113,15,5,0,1,0,0
baseline,36,2,20260972,0,6,134,12,2,2,5,0,0
lookahead,36,2,20260972,0,7,142,10,0,3,3,0,0
baseline,36,3,20260973,1,10,124,9,1,3,6,0,0
lookahead,36,3,20260973,0,7,123,5,2,1,8,0,0
baseline,37,0,20260974,1,10,97,13,3,2,2,1,0
lookahead,37,0,20260974,1,10,69,6,0,4,3,0,0
baseline,37,1,20260975,0,9,147,15,2,2,2,1,0
lookahead,37,1,20260975,0,3,137,8,3,0,2,0,0
baseline,37,2,20260976,0,9,109,12,3,2,1,1,0
lookahead,37,2,20260976,0,9,86,14,5,1,1,1,0
baseline,37,3,20260977,0,5,122,8,3,0,6,0,0
lookahead,37,3,20260977,0,5,109,7,3,1,6,0,0
baseline,38,0,20260978,0,3,98,11,2,0,2,0,0
lookahead,38,0,20260978,0,9,134,12,5,1,1,1,0
baseline,38,1,20260979,0,6,132,10,4,0,3,0,0
lookahead,38,1,20260979,0,5,140,7,5,0,1,0,0
baseline,38,2,20260980,0,4,109,10,2,1,0,0,0
lookahead,38,2,20260980,0,4,113,6,4,0,1,0,0
baseline,38,3,20260981,0,9,141,15,3,3,1,0,0
lookahead,38,3,20260981,1,10,140,12,4,3,0,0,0
baseline,39,0,20260982,1,10,101,15,4,3,2,0,0
lookahead,39,0,20260982,0,9,86,8,2,3,7,0,0
baseline,39,1,20260983,0,7,93,12,4,0,3,1,0
lookahead,39,1,20260983,0,7,117,9,5,1,2,0,0
baseline,39,2,20260984,0,9,121,15,3,2,1,1,0
lookahead,39,2,20260984,0,7,106,15,5,0,3,1,0
baseline,39,3,20260985,0,9,115,8,3,2,6,0,0
lookahead,39,3,20260985,0,8,131,3,0,3,4,0,0
baseline,40,0,20260986,0,6,124,9,2,2,3,0,0
lookahead,40,0,20260986,0,5,140,10,1,2,2,0,0
baseline,40,1,20260987,0,9,149,15,5,0,7,1,0
lookahead,40,1,20260987,1,10,118,13,3,2,3,1,0
baseline,40,2,20260988,0,5,124,7,1,2,2,0,0
lookahead,40,2,20260988,1,10,163,13,4,2,2,1,0
baseline,40,3,20260989,1,10,104,13,3,2,5,0,0
lookahead,40,3,20260989,0,6,141,15,5,0,3,0,0
baseline,41,0,20260990,0,3,90,7,1,1,2,0,0
lookahead,41,0,20260990,0,3,78,2,2,0,3,0,0
baseline,41,1,20260991,1,10,78,9,1,3,2,1,0
lookahead,41,1,20260991,0,8,160,15,5,0,3,1,0
baseline,41,2,20260992,0,5,142,12,1,1,2,1,0
lookahead,41,2,20260992,0,9,148,9,0,4,5,0,0
baseline,41,3,20260993,0,4,130,13,2,1,3,0,0
lookahead,41,3,20260993,0,5,70,8,1,1,1,1,0
baseline,42,0,20260994,0,9,159,14,1,3,5,0,0
lookahead,42,0,20260994,0,5,116,15,5,0,2,0,0
baseline,42,1,20260995,0,7,136,15,2,2,3,0,0
lookahead,42,1,20260995,1,11,86,11,4,2,2,1,0
baseline,42,2,20260996,0,6,104,11,5,0,6,0,0
lookahead,42,2,20260996,0,5,118,8,5,0,2,0,0
baseline,42,3,20260997,0,9,151,15,5,1,4,0,0
lookahead,42,3,20260997,0,4,119,5,4,0,1,0,0
baseline,43,0,20260998,0,8,144,15,3,1,2,1,0
lookahead,43,0,20260998,1,10,133,11,4,2,2,1,0
baseline,43,1,20260999,1,10,110,15,4,1,4,1,0
lookahead,43,1,20260999,0,9,152,12,4,2,3,0,0
baseline,43,2,20261000,0,6,113,14,2,1,2,1,0
lookahead,43,2,20261000,0,8,126,12,2,2,0,1,0
baseline,43,3,20261001,0,4,97,8,3,0,3,0,0
lookahead,43,3,20261001,0,7,175,10,5,1,4,0,0
baseline,44,0,20261002,0,6,106,13,5,0,3,0,0
lookahead,44,0,20261002,0,9,146,15,4,2,2,0,0
baseline,44,1,20261003,0,6,96,3,0,2,5,0,0
lookahead,44,1,20261003,0,5,116,2,1,1,5,0,0
baseline,44,2,20261004,0,5,128,5,1,2,3,0,0
lookahead,44,2,20261004,0,4,144,6,4,0,0,0,0
baseline,44,3,20261005,0,6,127,14,4,1,2,0,0
lookahead,44,3,20261005,0,4,101,8,4,0,0,0,0
baseline,45,0,20261006,0,5,123,12,3,1,1,0,0
lookahead,45,0,20261006,0,5,119,6,4,0,1,0,0
baseline,45,1,20261007,1,10,62,7,3,1,4,1,0
lookahead,45,1,20261007,1,10,142,15,5,1,2,1,0
baseline,45,2,20261008,1,10,107,15,2,3,1,1,0
lookahead,45,2,20261008,1,10,139,15,4,2,3,1,0
baseline,45,3,20261009,0,7,127,15,5,0,4,1,0
lookahead,45,3,20261009,0,7,107,15,5,0,1,1,0
baseline,46,0,20261010,0,8,120,15,1,3,4,0,0
lookahead,46,0,20261010,0,7,116,13,0,3,5,0,0
baseline,46,1,20261011,0,6,91,7,1,1,6,0,0
lookahead,46,1,20261011,0,7,91,9,4,1,1,0,0
baseline,46,2,20261012,0,6,121,15,4,0,6,1,0
lookahead,46,2,20261012,0,6,106,7,5,0,5,0,0
baseline,46,3,20261013,1,10,124,15,3,2,2,1,0
lookahead,46,3,20261013,0,5,135,15,5,0,2,0,0
baseline,47,0,20261014,1,10,157,15,2,3,3,0,0
lookahead,47,0,20261014,0,8,148,4,2,2,5,0,0
baseline,47,1,20261015,1,10,202,14,4,1,5,1,0
lookahead,47,1,20261015,1,10,138,9,2,4,4,0,0
baseline,47,2,20261016,1,10,127,13,5,1,5,1,0
lookahead,47,2,20261016,0,7,153,12,5,1,3,0,0
baseline,47,3,20261017,1,10,168,15,1,3,3,1,0
lookahead,47,3,20261017,0,8,193,12,5,0,3,1,0
baseline,48,0,20261018,0,3,98,2,1,1,6,0,0
lookahead,48,0,20261018,0,6,130,5,3,1,3,0,0
baseline,48,1,20261019,1,10,114,9,3,2,5,1,0
lookahead,48,1,20261019,0,5,119,7,5,0,1,0,0
baseline,48,2,20261020,0,9,133,14,4,1,6,1,0
lookahead,48,2,20261020,0,6,113,7,5,0,5,0,0
baseline,48,3,20261021,0,8,98,8,1,3,5,0,0
lookahead,48,3,20261021,0,6,85,7,0,2,5,0,0
baseline,49,0,20261022,1,10,121,15,3,1,5,1,0
lookahead,49,0,20261022,0,8,128,11,4,2,0,0,0
baseline,49,1,20261023,0,3,113,13,2,0,5,0,0
lookahead,49,1,20261023,0,9,137,15,5,2,1,0,0
baseline,49,2,20261024,0,7,117,15,0,2,3,1,0
lookahead,49,2,20261024,0,3,121,14,3,0,0,0,0
baseline,49,3,20261025,0,4,89,15,2,1,1,0,0
lookahead,49,3,20261025,0,6,97,5,3,1,3,0,0
